song_name,id,time,artists,release_date,length_minutes,popularity,danceability,energy,valence,tempo
Slide,2rTnVB1bvwxHtaIl4uVu7f,20:53,"H.E.R.,YG",2019-09-27,3.9720166666666668,81,0.827,0.469,0.196,97.028
On Chill (feat. Jeremih),5z51HY4ei5QhTjcvwq5Msw,20:57,"Wale,Jeremih",2019-10-11,3.56725,79,0.597,0.733,0.639,171.016
"Leave Em Alone (Layton Greene, Lil Baby feat. City Girls, PnB Rock)",6Vdyu21iT8qScU1haSjWUU,21:0,"Quality Control,Layton Greene,Lil Baby,City Girls,PnB Rock",2019-08-16,2.8607666666666667,74,0.76,0.755,0.517,101.993
Put a Date On It (feat. Lil Baby),6PRh0ilIMEP1xlUHqalnkD,21:3,"Yo Gotti,Lil Baby",2019-01-25,3.2542833333333334,69,0.835,0.659,0.579,129.93
a lot,2t8yVaLvJ0RenpXUIAC52d,21:8,21 Savage,2018-12-21,4.8104,83,0.837,0.636,0.274,145.972
Mo Bamba,1xzBco0xcoJEDXktl7Jxrr,21:11,Sheck Wes,2018-10-05,3.0651,83,0.729,0.625,0.261,146.034
Suge,2gwkD6igEhQbDQegRCcdoB,21:14,DaBaby,2019-03-01,2.722,88,0.876,0.662,0.844,75.445
Bitchuary,4dV3okcjbQwTcg4ObIGr4N,21:16,Shordie Shordie,2018-12-08,2.236883333333333,75,0.762,0.383,0.44,92.947
Big Ole Freak,3YEbLhXRDPTtctnb3ddg8g,21:20,Megan Thee Stallion,2018-12-21,3.5808333333333335,73,0.799,0.699,0.627,142.979
Ballin' (with Roddy Ricch),3QzAOrNlsabgbMwlZt7TAY,21:23,"Mustard,Roddy Ricch",2019-06-28,3.007233333333333,89,0.809,0.545,0.244,97.008
Hot (feat. Gunna),5Z8HZM6iQMhhqyPcCGY5g9,21:26,"Young Thug,Gunna",2019-08-16,3.2171,85,0.855,0.651,0.559,111.997
Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE,21:28,"Lil Baby,Gunna",2018-10-05,2.4257,86,0.897,0.662,0.389,112.511
Hardaway,25qhnRgAcImQWfaswqRkwN,21:32,Derez De’Shon,2018-04-13,3.933866666666667,58,0.537,0.518,0.427,132.527
No Guidance (feat. Drake),6XHVuErjQ4XNm6nDPVCxVX,21:36,"Chris Brown,Drake",2019-06-28,4.344,86,0.698,0.454,0.137,92.932
Sauce,5VqKdNoamMXrmRmqVmi9ke,21:40,Ella Mai,2018-10-12,3.0826333333333333,63,0.642,0.614,0.43,99.572
Cali Iz Active,1NtD3sTKz7HKH3fu0xsdjY,21:44,Tha Dogg Pound,2006-06-27,4.736666666666666,45,0.679,0.694,0.674,103.305
Gucci Bandanna,6MqFViHkIUQ0MOu25cdwiO,21:48,"Soulja Boy,Gucci Mane,Shawty Lo",2008-01-01,3.933333333333333,38,0.91,0.617,0.533,140.029
Bozo,0kHpCa6lfDBsuRZyn1VpJ5,21:51,Bino Rideaux,2019-07-11,2.4811833333333335,45,0.671,0.342,0.399,99.973
BPT,1tdc73ozehKPyRWRKs0lja,21:53,YG,2014-01-01,2.13355,57,0.614,0.699,0.215,97.67
Pitch In OnA Party,2hyyA7U1m1pFlZcEyl91jH,21:57,DJ Quik,2000,4.118666666666667,51,0.927,0.53,0.567,106.363
Die Young,3wLtYwtqvKK2ewelSVPeDK,22:0,Roddy Ricch,2018-11-02,2.6276,77,0.688,0.656,0.365,160.414
BLEACH,0dWOFwdXrbBUYqD9DLsoyK,22:4,BROCKHAMPTON,2017-12-15,4.5525166666666665,76,0.595,0.657,0.718,156.093
Congratulations,3a1lNhkSLSkpJE4MSHpDu9,22:8,"Post Malone,Quavo",2016-12-09,3.67155,85,0.63,0.804,0.492,123.146
Do U Wrong (feat. Syd),7qFhAfUbytgPIVz4TYb3hT,22:13,"Leven Kali,Syd",2019-05-10,4.6711,66,0.729,0.458,0.317,78.995
Drogba (Joanna),4E0teOQQQwagLVvQ7VfYm1,22:16,Afro B,2018-07-06,3.316666666666667,70,0.966,0.633,0.767,108.011
Before I Let Go - Homecoming Live Bonus Track,7LikBkHerFGZ58QHVOKp1t,22:20,Beyoncé,2019-04-17,4.012933333333334,67,0.713,0.842,0.435,102.968
Toast,7sd72KZS8D59g5NmhxyHpJ,22:23,Koffee,2019-03-14,3.1917,74,0.906,0.638,0.789,99.959
Throw Some D's,6SmPPtaMnfxgz5duA6t9Cu,22:27,"Rich Boy,Polow Da Don",2007-01-01,4.398666666666666,57,0.698,0.86,0.433,160.904
Umma Do Me,3YrVdQ19x8VDexsX7ytwJ2,22:31,Rocko,2008-01-01,3.842433333333333,41,0.475,0.605,0.291,137.074
24/7 (feat. Ella Mai),6irE4Fbjbry3czv7mTxVSB,22:35,"Meek Mill,Ella Mai",2018-11-30,3.6920333333333333,73,0.657,0.711,0.368,86.957
Jerry Sprunger (with T-Pain),6JsHgIkMYHcbNtKfsal2Mg,22:39,"Tory Lanez,T-Pain",2019-11-15,3.8924333333333334,81,0.76,0.746,0.449,100.011
Why You Always Hatin?,39hnH8WdPmNT3Q3yzwC9Rg,22:42,"YG,Drake,Kamaiyah",2016-06-17,3.276666666666667,64,0.926,0.336,0.38,92.995
Them Changes,5dcZUsgcMW57ju0A379O7c,22:45,Thundercat,2017-02-24,3.13975,65,0.784,0.55,0.715,81.676
Gold Roses (feat. Drake),4aPB8rSxGFISs0o6V2LrTy,22:51,"Rick Ross,Drake",2019-07-26,5.752666666666666,71,0.581,0.642,0.536,80.142
Come Over,2hPNuVVSV1tqiD2uPlfehz,22:56,The Internet,2018-07-20,5.364216666666667,62,0.529,0.598,0.691,92.01
Ye,3FskQrDXcY24ur2fCvz35O,23:0,Burna Boy,2018-01-26,3.8603,75,0.503,0.592,0.344,201.85
"West Coast (feat. Blueface, ALLBLACK & YG)",4EnEGf9JzAJhF1XNY9DJcD,23:5,"G-Eazy,Blueface,ALLBLACK,YG",2019-03-28,4.282766666666666,68,0.882,0.775,0.805,98.023
SUGAR,6U0FIYXCQ3TGrk4tFpLrEA,23:8,BROCKHAMPTON,2019-08-23,3.4088833333333333,81,0.453,0.538,0.516,122.973
In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,23:12,Drake,2018-06-29,3.6320833333333336,84,0.835,0.626,0.35,91.03
The London (feat. J. Cole & Travis Scott),7DcvwMAiqKJQD1rrdfxSDx,23:15,"Young Thug,J. Cole,Travis Scott",2019-05-23,3.3351,84,0.796,0.586,0.179,97.981
Beauty & Essex (feat. Daniel Caesar & Unknown Mortal Orchestra),4ej94zqr9xYLbWphCH3TcD,23:20,"Free Nationals,Daniel Caesar,Unknown Mortal Orchestra",2018-10-10,4.6174333333333335,63,0.552,0.741,0.718,69.709
ZEZE,0FZ4Dmg8jJJAPJnvBIzD9z,23:23,"Kodak Black,Offset,Travis Scott",2018-12-14,3.81265,84,0.861,0.603,0.504,98.043
If,0XQuWhRG7qD7OYHKsgt0BN,23:27,DaVido,2017-02-17,3.9619,62,0.951,0.661,0.926,104.997
4Ever (feat. Fabolous),6ubNZ5edKBKH3MQKatUY3S,23:31,"Lil' Mo,Fabolous",2003-02-11,3.7157666666666667,56,0.683,0.657,0.764,99.059
Who Hurt You?,23c9gmiiv7RCu7twft0Mym,23:35,Daniel Caesar,2018-10-16,3.8660666666666668,74,0.649,0.493,0.277,104.542
I Can't Wait,23XFjkEHUpVh3fmcNJFkaR,23:39,"Sleepy Brown,OutKast",2004-01-01,4.542433333333333,45,0.855,0.63,0.578,102.922
I'm Good,2j9zOJz96HmYKGCkRJL4zZ,23:42,YG,2011-05-11,2.9949333333333334,33,0.936,0.344,0.444,95.98
Sprung (feat. Tee Fli),6OPkZWSBUWEFbDMmYsc7Ah,23:45,"YG,Teefli",2013-01-02,2.791183333333333,36,0.858,0.249,0.497,97.598
It's A Vibe,6H0AwSQ20mo62jGlPGB8S6,23:49,"2 Chainz,Ty Dolla $ign,Trey Songz,Jhené Aiko",2017-06-16,3.5033333333333334,75,0.822,0.505,0.523,73.003
Maria,0MURF0yjHOChxkrlUrLQWk,23:51,"Santi,GoldLink",2019-05-17,2.2333333333333334,44,0.66,0.689,0.585,194.056
Drove U Crazy (feat. Bryson Tiller),05l55Q5FpHrMs06JoYcmrR,23:54,"Gucci Mane,Bryson Tiller",2016-12-16,3.1544333333333334,56,0.885,0.664,0.366,124.944
Get into the Party Life,5Cp7mTA2Piq65qWi8h71Q5,23:57,LION BABE,2018-12-14,2.974666666666667,48,0.734,0.732,0.515,140.021
Panini - DaBaby Remix,4SDgTLDYrJ2UrHbkRkg7MD,0:0,"Lil Nas X,DaBaby",2019-09-13,2.517333333333333,83,0.717,0.598,0.496,153.905
Get Money,3W6UZZEiAIywZYpNpfBplK,0:4,Junior M.A.F.I.A.,2002-01-01,4.514716666666667,7,0.718,0.847,0.888,91.158
MUSHROOM CHOCOLATE (with 6LACK),41v7qDGXurEGgkMQWOk7hP,0:8,"QUIN,6LACK",2019-02-12,3.7773,42,0.728,0.547,0.535,147.897
D'Evils,0wY9rA9fJkuESyYm9uzVK5,0:11,SiR,2018-01-19,2.8636333333333335,69,0.784,0.586,0.656,132.169
Windows,7Dzd63cCJbZuTY4rSnvWZz,0:14,"Chance the Rapper,Alex Wiley,Akenya",2012-04-03,2.925,18,0.513,0.833,0.404,81.253
My Shit Bang,7eaEXFYxeRs0TMXFyayhdo,0:18,E-40,2011-01-01,4.04755,53,0.719,0.568,0.334,99.712
G'd Up,1zIXpzuCC7FM4kECt2eEzu,0:22,"Tha Eastsidaz,Butch Cassidy",2001,4.557766666666667,46,0.908,0.763,0.593,97.106
How Does It Feel,4FbE6naBQZdn0nhvneroGA,0:25,Kamaiyah,2016-04-29,2.65755,47,0.858,0.521,0.298,100.018
Want Her,4zrwPfq5ENLzjq41Txs2HR,0:30,"Mustard,Quavo,YG",2016-09-30,4.592666666666666,61,0.828,0.607,0.409,101.012
Who Am I (What's My Name)?,5XhkV07Vou38wnrzwURUOC,0:34,Snoop Dogg,1993,4.105333333333333,71,0.692,0.833,0.692,96.814
Int'l Players Anthem (I Choose You) (feat. OutKast),2bQdgtO42TfS37YWupeMrr,0:38,"UGK,OutKast",2014-03-14,4.316433333333333,61,0.697,0.681,0.82,77.847
Come Thru (with Usher),3TTMUI5dFcbeNSDTTDY9M8,0:41,"Summer Walker,Usher",2019-10-04,3.0168833333333334,81,0.679,0.728,0.46,152.001
Blame,6S5dMjMifQYmyTu1mX4f8P,0:43,Bryson Tiller,2019-07-26,2.1171333333333333,75,0.73,0.38,0.323,114.973
"Verify (feat. Young Thug, Gunna)",1aWu9UgVzG5EKeFCP49Spj,0:46,"Jacquees,Young Thug,Gunna",2019-11-08,2.724666666666667,72,0.525,0.629,0.284,84.699
Cash Shit (feat. DaBaby),2rMAtCaTj16NptyVfEIeAC,0:49,"Megan Thee Stallion,DaBaby",2019-05-17,3.2089833333333333,81,0.921,0.635,0.549,130.028
Juicy (feat. Tyga),7f5trao56t7sB7f14QDTmp,0:52,"Doja Cat,Tyga",2019-11-07,3.3848833333333332,75,0.786,0.652,0.483,170.031
Tap (feat. Meek Mill),5rU6kDNXZLXIinFezpbWbO,0:55,"NAV,Meek Mill",2019-03-26,2.4713,80,0.901,0.676,0.452,85.018
Girls Love Beyoncé (feat. James Fauntleroy),56NDFbD0tCUawnqeU2wcvv,0:59,"Drake,James Fauntleroy",2019-08-02,3.750183333333333,65,0.619,0.489,0.328,126.046
Sativa,2pg2TiYo9Rb8KeB5JjP7jS,1:3,"Jhené Aiko,Swae Lee",2017-09-22,4.616,75,0.741,0.61,0.72,125.99
Déjà vu,6amzJ3wmEDf7e5tHAndZmn,1:7,TWENTY88,2016-04-01,4.198433333333333,56,0.568,0.617,0.404,123.667
Last Time That I Checc'd (feat. YG),39xWBHPM4E9MwzEy5gbM7p,1:11,"Nipsey Hussle,YG",2018-02-16,3.75955,68,0.711,0.746,0.279,96.024
How Bout Now,4n4BflhWjCHIxrI4v7Xt9s,1:15,Drake,2019-08-02,3.9261,68,0.789,0.404,0.472,122.062
Highlights,4qYLPta5HZ36idWiXtqh7B,1:18,Kanye West,2016-06-10,3.3311,62,0.547,0.626,0.346,101.971
Let The Beat Build,0bdabO15YOj0iZPg2OujAw,1:24,Lil Wayne,2008-01-01,5.15,57,0.493,0.527,0.886,154.053
Otis,6vegnfDS8DAEaCqWaPYGPy,1:27,"JAY-Z,Kanye West,Otis Redding",2011-08-08,2.9702166666666665,69,0.755,0.631,0.433,94.571
